numero;arquivo;pagina_destino;texto_principal;titulo;descricao;botao_cta
01;01-guitarra-quantidade-tank-g.png;https://mvave.com.br/guitar/;"Seu pedal pode entregar muito mais possibilidades de timbre. Explore 7.000+ IRs para guitarra, organizados e prontos para baixar.";"7.000+ IRs para guitarra";"Acesso imediato e vitalício.";"Saiba mais"
02;02-guitarra-transformacao-cube-baby.png;https://mvave.com.br/guitar/;"Um pedal compacto não precisa ter um som pequeno. Teste 7.000+ IRs para encontrar respostas que combinem com seu equipamento e seu estilo.";"Faça seu timbre soar maior";"IRs prontos para testar.";"Saiba mais"
03;03-guitarra-organizacao-annblack-box.png;https://mvave.com.br/guitar/;"Chega de baixar arquivos soltos e perder horas procurando. Tenha 7.000+ IRs para guitarra reunidos em uma biblioteca organizada.";"Pare de caçar IRs na internet";"Baixe e comece a explorar.";"Saiba mais"
04;04-guitarra-universo-mk-300.png;https://mvave.com.br/guitar/;"Clean, crunch, rock ou high gain: encontre novas possibilidades para sua guitarra. São 7.000+ IRs reunidos em um só pack.";"Um universo de timbres";"Escolha, instale e toque.";"Saiba mais"
05;05-guitarra-portabilidade-tank-mini.png;https://mvave.com.br/guitar/;"Pequena no tamanho, enorme nas possibilidades. Expanda os timbres da sua pedaleira com uma biblioteca de 7.000+ IRs para guitarra.";"Gigante no timbre";"Download e acesso imediatos.";"Saiba mais"
06;06-guitarra-compatibilidade-h8.png;https://mvave.com.br/guitar/;"Milhares de timbres em um único equipamento. O pack inclui 7.000+ IRs para guitarra e aulas para ajudar na instalação.";"Milhares de timbres. Um pedal.";"Instalação passo a passo.";"Saiba mais"
07;07-guitarra-gabinetes-ir-box.png;https://mvave.com.br/guitar/;"Troque o caráter do gabinete sem trocar seu equipamento. Explore 7.000+ IRs para guitarra e encontre novas combinações em segundos.";"Troque de gabinete em segundos";"Acesso vitalício ao pack.";"Saiba mais"
08;08-guitarra-versatilidade-tank-g.png;https://mvave.com.br/guitar/;"Do clean aberto ao high gain fechado, existe um IR para cada direção de timbre. Tenha 7.000+ opções para explorar.";"Do clean ao high gain";"Pack pronto para download.";"Saiba mais"
09;09-guitarra-garantia-annblack-box.png;https://mvave.com.br/guitar/;"Descubra como os IRs funcionam no seu próprio equipamento. São 7.000+ arquivos para guitarra com garantia de 7 dias.";"Teste no seu equipamento";"Compra protegida por 7 dias.";"Saiba mais"
10;10-guitarra-arquivos-aulas-cube-baby.png;https://mvave.com.br/guitar/;"Tudo organizado para você gastar menos tempo procurando e mais tempo tocando. Receba 7.000+ IRs para guitarra e aulas de instalação.";"Arquivos organizados + aulas";"Acesso imediato e vitalício.";"Saiba mais"
11;11-baixo-quantidade-tank-b.png;https://mvave.com.br/bass/;"Grave com peso sem abrir mão da definição. Explore 2.100+ IRs para baixo, organizados e prontos para instalar.";"2.100+ IRs para baixo";"Acesso imediato ao pack.";"Saiba mais"
12;12-baixo-definicao-cube-baby-bass.png;https://mvave.com.br/bass/;"Seu grave some ou embola na mix? Compare 2.100+ IRs para encontrar opções com mais definição e presença.";"Menos embolado. Mais definição.";"IRs prontos para testar.";"Saiba mais"
13;13-baixo-organizacao-annblack-box.png;https://mvave.com.br/bass/;"Pare de procurar IR por IR em pastas espalhadas. Tenha 2.100+ arquivos de baixo reunidos em uma biblioteca organizada.";"Seu pack de baixo organizado";"Baixe e comece a explorar.";"Saiba mais"
