produto_novo,arquivo_novo,caminho_novo,arquivo_original,caminho_original,categoria,observacao
Guitar Essentials,Bogner 2x12.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/guitar-essentials/arquivos/Bogner/Bogner 2x12.zip,Bogner 2x12.zip,downloads/arquivos/Por modelo/Guitarra/Bogner/Bogner 2x12.zip,Guitarra,Copia integral; SHA-256 igual ao original.
Complete Essentials,Bogner 2x12.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/complete-essentials/arquivos/Guitarra/Bogner/Bogner 2x12.zip,Bogner 2x12.zip,downloads/arquivos/Por modelo/Guitarra/Bogner/Bogner 2x12.zip,Guitarra,Copia independente; SHA-256 igual ao original.
Guitar Essentials,Combos e gabinetes Fender.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/guitar-essentials/arquivos/Fender/Combos e gabinetes Fender.zip,Combos e gabinetes Fender.zip,downloads/arquivos/Por modelo/Guitarra/Fender/Combos e gabinetes Fender.zip,Guitarra,Copia integral; SHA-256 igual ao original.
Complete Essentials,Combos e gabinetes Fender.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/complete-essentials/arquivos/Guitarra/Fender/Combos e gabinetes Fender.zip,Combos e gabinetes Fender.zip,downloads/arquivos/Por modelo/Guitarra/Fender/Combos e gabinetes Fender.zip,Guitarra,Copia independente; SHA-256 igual ao original.
Guitar Essentials,JCM900.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/guitar-essentials/arquivos/Marshall/JCM900.zip,JCM900.zip,downloads/arquivos/Por modelo/Guitarra/Marshall/JCM900.zip,Guitarra,Copia integral; SHA-256 igual ao original.
Complete Essentials,JCM900.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/complete-essentials/arquivos/Guitarra/Marshall/JCM900.zip,JCM900.zip,downloads/arquivos/Por modelo/Guitarra/Marshall/JCM900.zip,Guitarra,Copia independente; SHA-256 igual ao original.
Guitar Essentials,Rectifier e V30.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/guitar-essentials/arquivos/Mesa-Boogie/Rectifier e V30.zip,Rectifier e V30.zip,downloads/arquivos/Por modelo/Guitarra/Mesa-Boogie/Rectifier e V30.zip,Guitarra,Copia integral; SHA-256 igual ao original.
Complete Essentials,Rectifier e V30.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/complete-essentials/arquivos/Guitarra/Mesa-Boogie/Rectifier e V30.zip,Rectifier e V30.zip,downloads/arquivos/Por modelo/Guitarra/Mesa-Boogie/Rectifier e V30.zip,Guitarra,Copia independente; SHA-256 igual ao original.
Guitar Essentials,4x12B.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/guitar-essentials/arquivos/Soldano/4x12B.zip,4x12B.zip,downloads/arquivos/Por modelo/Guitarra/Soldano/4x12B.zip,Guitarra,Copia integral; SHA-256 igual ao original.
Complete Essentials,4x12B.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/complete-essentials/arquivos/Guitarra/Soldano/4x12B.zip,4x12B.zip,downloads/arquivos/Por modelo/Guitarra/Soldano/4x12B.zip,Guitarra,Copia independente; SHA-256 igual ao original.
Guitar Essentials,AC30.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/guitar-essentials/arquivos/Vox/AC30.zip,AC30.zip,downloads/arquivos/Por modelo/Guitarra/Vox/AC30.zip,Guitarra,Copia integral; SHA-256 igual ao original.
Complete Essentials,AC30.zip,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/complete-essentials/arquivos/Guitarra/Vox/AC30.zip,AC30.zip,downloads/arquivos/Por modelo/Guitarra/Vox/AC30.zip,Guitarra,Copia independente; SHA-256 igual ao original.
Guitar Essentials,cube-baby.webp,downloads/arquivos/NOVOS-PRODUTOS/01-essentials/guitar-essentials/imagens/cube-baby.webp,cube-baby.webp,assets/img/equipment/cube-baby.webp,imagem do acervo,Imagem real ja existente no projeto.
