"caminho","tamanho_antes","tamanho_depois","sha256_antes","sha256_depois","status"
"app.js","178827","179625","5C3625359D3573FBA065AE81DBF994E9F22A5EE91E2A942CAC5F3384C3EE8192","1A479B5BF8273A939760C77997FD3AC40E9BCBA78DE6DB58DB093F8DD48E0CC6","alterado"
"baixo\index.html","4537","4537","33BFA2777D01899D783E3DEC327F8EF218C8B69FD230B5340B173097F76648FD","33BFA2777D01899D783E3DEC327F8EF218C8B69FD230B5340B173097F76648FD","inalterado"
"bass\index.html","5179","5179","F3474B77B7047221D4576B6E91887AB4B9377FD5D9D2005AAE87F9BB655F2BC6","F3474B77B7047221D4576B6E91887AB4B9377FD5D9D2005AAE87F9BB655F2BC6","inalterado"
"campaign-tracking.js","3715","3715","16848588F1DA2E2DC5FEAF7984B299C4C45C1404AFE9941F04F5FB0A65FC1464","16848588F1DA2E2DC5FEAF7984B299C4C45C1404AFE9941F04F5FB0A65FC1464","inalterado"
"catalog-data.js","29423","29423","29B7F1DE9AE69BA8A9C4D136E37538080D3BDC3947627D28EDC222291A789AE1","29B7F1DE9AE69BA8A9C4D136E37538080D3BDC3947627D28EDC222291A789AE1","inalterado"
"completo\index.html","5054","5054","ABFE00B2E49AA35AE0BC6D72E5589AE2E662DEC67B8ABD277FEEEE9DE99D6D5C","ABFE00B2E49AA35AE0BC6D72E5589AE2E662DEC67B8ABD277FEEEE9DE99D6D5C","inalterado"
"content-data.js","20539","20539","AC27CDD335792EDA85A20B44B01EF0479D80225BB8AF149CF63540CE6470297E","AC27CDD335792EDA85A20B44B01EF0479D80225BB8AF149CF63540CE6470297E","inalterado"
"downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","2926651","2926651","E96F6EF7650FF25ACB6B95C8D2C9399CF3EB307615E5407B8E37D96164478DCC","E96F6EF7650FF25ACB6B95C8D2C9399CF3EB307615E5407B8E37D96164478DCC","inalterado"
"downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","5771270","5771270","C6BD13821793FDE1CBEC5DB7D67081ACB8307150E754F309EB158DBCFE5B2750","C6BD13821793FDE1CBEC5DB7D67081ACB8307150E754F309EB158DBCFE5B2750","inalterado"
"downloads\arquivos\Por modelo\Baixo\Ampeg\V4B Custom.zip","23278","23278","7FA05DE5A430E483F2D26516F3D7520F4DE862C547A6248BD54CBB8E2AB0E3DA","7FA05DE5A430E483F2D26516F3D7520F4DE862C547A6248BD54CBB8E2AB0E3DA","inalterado"
"downloads\arquivos\Por modelo\Baixo\Ashdown\ABM BP150.zip","377764","377764","56B8A79C95D8605FACF97DEAE9CD833E2251BDB6D6D6F3ECC6C919FDF05DFE11","56B8A79C95D8605FACF97DEAE9CD833E2251BDB6D6D6F3ECC6C919FDF05DFE11","inalterado"
"downloads\arquivos\Por modelo\Baixo\Darkglass\DG410C.zip","14177249","14177249","397794B59B5D4F06CD2B597C8D74C41AA89FFEECA05F7C7542B010B73087B610","397794B59B5D4F06CD2B597C8D74C41AA89FFEECA05F7C7542B010B73087B610","inalterado"
"downloads\arquivos\Por modelo\Baixo\Eden\Eden e Nemesis 4x10.zip","1113681","1113681","05BB91C462E3709E7900451DCA11028C652BDE646C08E9845E3F656E1E2CAC6C","05BB91C462E3709E7900451DCA11028C652BDE646C08E9845E3F656E1E2CAC6C","inalterado"
"downloads\arquivos\Por modelo\Baixo\Gallien-Krueger\GK Collection.zip","509525","509525","C0C02DDC4D96B1297ACFE1E78D3DEC37F8A86E31EC69E9113F80797D5992BE4A","C0C02DDC4D96B1297ACFE1E78D3DEC37F8A86E31EC69E9113F80797D5992BE4A","inalterado"
"downloads\arquivos\Por modelo\Baixo\Hartke\45XL.zip","8937308","8937308","9C96E01CB2A0702FBC564BCB2313539270EDDCB13362EEB0C41BF4A998B0714B","9C96E01CB2A0702FBC564BCB2313539270EDDCB13362EEB0C41BF4A998B0714B","inalterado"
"downloads\arquivos\Por modelo\Baixo\Markbass\Markbass Collection.zip","1054639","1054639","24F5ECAC2F1483BB9FCEA79A765A48A2B22109F47576EFB6C632D5E55594C701","24F5ECAC2F1483BB9FCEA79A765A48A2B22109F47576EFB6C632D5E55594C701","inalterado"
"downloads\arquivos\Por modelo\Baixo\Mesa-Boogie\PowerHouse.zip","406140","406140","D3DAFA82499D506279DDB62182B5A6A9944173B2605DBE21A4F95D529A8919A0","D3DAFA82499D506279DDB62182B5A6A9944173B2605DBE21A4F95D529A8919A0","inalterado"
"downloads\arquivos\Por modelo\Baixo\Orange\Orange Bass Setup.zip","38375","38375","B8DDD46174B67896115B02BCC087DA46379281B02CC72F1145CAD21838000F46","B8DDD46174B67896115B02BCC087DA46379281B02CC72F1145CAD21838000F46","inalterado"
"downloads\arquivos\Por modelo\Baixo\Outras coleções\AFX.zip","17585","17585","3EE9614579CB3CC109F59123A1253A6411CD028E0FF9E199336795A88B40A836","3EE9614579CB3CC109F59123A1253A6411CD028E0FF9E199336795A88B40A836","inalterado"
"downloads\arquivos\Por modelo\Baixo\Outras coleções\Bass Classics.zip","3041","3041","24DB2A6153DC631CB7F7D4D413737B7E70C6A0D2E80B65D698DEBF70C00DBDC7","24DB2A6153DC631CB7F7D4D413737B7E70C6A0D2E80B65D698DEBF70C00DBDC7","inalterado"
"downloads\arquivos\Por modelo\Baixo\Outras coleções\Bass Grafton.zip","15086","15086","8D87E20CAD432CE556175A7D49F2BCDF0C32CC23B7CBAF29A20C1812B9AD4A63","8D87E20CAD432CE556175A7D49F2BCDF0C32CC23B7CBAF29A20C1812B9AD4A63","inalterado"
