"caminho","extensao","tamanho_bytes","sha256"
"assets\.DS_Store",".ds_store","14340","7A0E1A61B7F44214B1052926F1BC9DFFC94E72F29F2A912F9FE5A41E904CFACF"
"assets\ads\latam\feed\ES-C07-guitarra-gabinetes.png",".png","2125587","6118D84A7A48CCAEB4C42267E124ACA55A768996BC16A76355F23F56BE02F5CF"
"assets\ads\latam\feed\ES-C11-bajo-cantidad.png",".png","2406265","46C05CE766645C761EBA69167F9CFEECB4799AB84D34853C1327E402B2700064"
"assets\ads\latam\feed\ES-C22-acustica-naturalidad.png",".png","2316306","CAA9C078F4DB604C3C7A9913985D82652C16B79F88DD4D0C428F74CEDEE3407A"
"assets\ads\latam\stories\ES-C07-guitarra-gabinetes.png",".png","3330784","821F8F0A29A7CB28AA1300ABBC4C4EDCF479DDFBAB1CE5FF7D174E85039605E0"
"assets\ads\latam\stories\ES-C11-bajo-cantidad.png",".png","4049160","1C06E1A2AF60D8C7320BC6001E2088D5A7A89B0F777B548AA078FA32F45B50DF"
"assets\ads\latam\stories\ES-C22-acustica-naturalidad.png",".png","4017223","8D02355B55099F78EC31E11DB986A7216CB4606477C330EE97BE42C6301263B4"
"assets\audio\previews\README.md",".md","505","72CF5FE641D581DE90636F480F5D59F1D806AC69AEFD9AF5A5B1138091CE6250"
"assets\conteudos-instagram\.DS_Store",".ds_store","14340","82087D865BB009762BED9B2CD4E6E10C399A5A4AE8F881E3B6FC12733460B180"
"assets\conteudos-instagram\calendario-postagens.csv",".csv","3305","0E0A162BDF4323A2EE1A77CF589BB892D4E1B6E8C55CE9BB5652FD08E53211BE"
"assets\conteudos-instagram\fontes\04-mesmo-volume-original.png",".png","1637839","025AE7DB9EB61AEB154C34F2C96B78815E75A997E0B69B5DC97B9EAF475A0F55"
"assets\conteudos-instagram\fontes\16-cube-baby-versoes-original.png",".png","1904461","F74897286FD67BD917F4186CF7E25191D459DF0712A7CEBC22E24E01E4B2CB49"
"assets\conteudos-instagram\fontes\17-nove-slots-original.png",".png","1763992","FD9BE69F372846CE14D45BFB8921861013ACF4BB4D71C78627D80B8259880CB7"
