"instrumento","arquivo_zip","arquivo_interno","extensao","tamanho_descompactado_bytes"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Classics/12_Ampeg_SVT-810E_Olympic_MkIIIS_edition2.wav",".wav","3044"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg SVT 8x10/Ampeg 8x10 4033 A107.wav",".wav","241560"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg SVT 8x10/Ampeg 8x10 D6 AH.wav",".wav","97104"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg SVT 8x10/Ampeg 8x10 e602 A107.wav",".wav","186612"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg SVT 8x10/Ampeg 8x10 4033 AH.wav",".wav","196844"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg SVT 8x10/Ampeg 8x10 e602 AH.wav",".wav","146932"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg SVT 8x10/Ampeg 8x10 57 AH.wav",".wav","96968"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg SVT 8x10/Ampeg 8x10 D6 A107.wav",".wav","123552"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg SVT 8x10/Ampeg 8x10 57 A107.wav",".wav","127284"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg Combo/ampeg combo m16-b_K.wav",".wav","105316"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg Combo/ampeg combo m16-a_K.wav",".wav","102364"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg Combo/ampeg combo 421-a_K.wav",".wav","100264"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg Combo/ampeg combo 421-b_K.wav",".wav","100264"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg SVT II/Sound 2.wav",".wav","1048620"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AFX/04_Ampeg_Heritage_B15_by_Shift_Line.wav",".wav","3044"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AFX/07_Ampeg_SVT-810E_by_Shift_Line.wav",".wav","3044"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg SVT/Ampeg SVT SM57 off Axis.wav",".wav","524572"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg SVT/Ampeg SVT Beta52.wav",".wav","524552"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg SVT/Ampeg SVT D-I-Out Hot.wav",".wav","524574"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg SVT/Ampeg SVT Bright Neumann.wav",".wav","524586"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg SVT/Ampeg SVT Bright Beta52.wav",".wav","524578"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg SVT/Ampeg SVT Neumann.wav",".wav","524568"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg SVT/Ampeg SVT D-I-Out.wav",".wav","524566"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/B25B/BT25-Neve_MD421-2.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/B25B/BT25-Neve_MD421-3.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/B25B/BT25-Neve_MD421-1.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/B25B/BT25-Neve_R121-1.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/B25B/BT25-Neve_SM57-1.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/B25B/BT25-Neve_SM57-3.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/B25B/BT25-Neve_R121-3.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/B25B/BT25-Neve_R121-2.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/B25B/BT25-Neve_SM57-2.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/SVT8E/SVT8E-Neve_SM57-1.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/SVT8E/SVT8E-Neve_R121-1.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/SVT8E/SVT8E-Neve_SM57-2.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/SVT8E/SVT8E-Neve_R121-2.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/SVT8E/SVT8E-Neve_R121-3.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/SVT8E/SVT8E-Neve_SM57-3.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/SVT8E/SVT8E-Neve_MD421-1.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/SVT8E/SVT8E-Neve_MD421-2.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/SVT8E/SVT8E-Neve_MD421-3.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/SVT410HE/SVT410HE-Neve_MD421-1.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/SVT410HE/SVT410HE-Neve_MD421-3.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/SVT410HE/SVT410HE-Neve_MD421-2.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/SVT410HE/SVT410HE-Neve_SM57-1.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/SVT410HE/SVT410HE-Neve_R121-1.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/SVT410HE/SVT410HE-Neve_SM57-2.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/SVT410HE/SVT410HE-Neve_R121-2.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/SVT410HE/SVT410HE-Neve_R121-3.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/SVT410HE/SVT410HE-Neve_SM57-3.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/B15N/B15N-C15N-Neve_SM57-1.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/B15N/B15N-C15N-Neve_R121-1.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/B15N/B15N-C15N-Neve_SM57-2.wav",".wav","14480"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg British/B15N/B15N-C15N-Neve_R121-2.wav",".wav","14480"
