"id","produto","categoria","catalogo_local","arquivo","bytes","sha256","url_manual","url_produto","status","erro"
"smk25-ii","SMK25-II","midi","true","pdf/midi/001-smk25-ii.pdf","1416776","2cef846cf349995228f5f47af3dac6bd476898c8e47081afdd4572ec6c02f790","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MIDI-KEYBOARD/SMK-25-2-MIDI.pdf","https://www.m-vave.com/product.html?id=smk25-ii","downloaded",""
"smk25","SMK25","midi","true","pdf/midi/002-smk25.pdf","1883375","36ff04096011931e735a7bcab086fecb62ce2ce8b4fc631eb461f7aece57728b","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MIDI-KEYBOARD/SMK-25-MIDI.pdf","https://www.m-vave.com/product.html?id=smk25","downloaded",""
"smk25-black","SMK-25 Black","midi","false","pdf/midi/003-smk-25-black.pdf","1883375","36ff04096011931e735a7bcab086fecb62ce2ce8b4fc631eb461f7aece57728b","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MIDI-KEYBOARD/SMK-25-MIDI.pdf","https://www.m-vave.com/product.html?id=smk25-black","downloaded",""
"smk-37-pro","SMK-37 PRO","midi","true","pdf/midi/004-smk-37-pro.pdf","1889968","cfb64c48e5b382b45b116d896fbc2b0fb1e0eaaff6f14506fd1066a0f7954914","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MIDI-KEYBOARD/SMK-37PRO.pdf","https://www.m-vave.com/product.html?id=smk-37-pro","downloaded",""
"smk-37-elite","SMK-37 ELITE","midi","true","pdf/midi/005-smk-37-elite.pdf","3559735","881666099b0b3ef1c0862f485392025efc3598c3521f1bdebe0196ae3b00f8de","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MIDI-KEYBOARD/SMK-37Elite-manual.pdf","https://www.m-vave.com/product.html?id=smk-37-elite","downloaded",""
"fm-1","FM-1","midi","false","pdf/midi/006-fm-1.pdf","1033110","9ca4e9d69138ed3d3c266184498acb670939b290975839b8505309f296c1f993","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MIDI-KEYBOARD/FM-1-manual.pdf","https://www.m-vave.com/product.html?id=fm-1","downloaded",""
"smc-pad","SMC-PAD","midi","true","pdf/midi/007-smc-pad.pdf","1789762","552f53ad4f77e4a42d900cda86fff0257e6421f2ca3a0cfa402e854ca7bc48db","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MIDI-KEYBOARD/SMC-PAD_ZE.pdf","https://www.m-vave.com/product.html?id=smc-pad","downloaded",""
"smc-mixer","SMC-Mixer","midi","true","pdf/midi/008-smc-mixer.pdf","824073","b396005e4a3973cc216ba4151bf3f765d9f2b10af5656b599e807eced7dcb289","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MIDI-KEYBOARD/SMC-MIXER_ZE.pdf","https://www.m-vave.com/product.html?id=smc-mixer","downloaded",""
"sws11","SWS11","wireless","false","pdf/wireless/009-sws11.pdf","649132","65d08a690a6cfd9caaba49502803c6810bb5f60efd767f7be95d4ccf28d3433b","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Wireless/SWS11-manual.pdf","https://www.m-vave.com/product.html?id=sws11","downloaded",""
"wp-9","WP-9","wireless","false","pdf/wireless/010-wp-9.pdf","1114091","007447995367833c3f40a93043e27299640dff6ca2dac9d52b333abca2f1883a","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Wireless/WS9.pdf","https://www.m-vave.com/product.html?id=wp-9","downloaded",""
"tank-g","TANK-G","multi","true","pdf/multi/011-tank-g.pdf","1437670","ec8786cb020ff69d08013329bd695750897fac89b97b695259caddc646bd755a","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Combined-Effect-Pedals/TANK-G-Z.pdf","https://www.m-vave.com/product.html?id=tank-g","downloaded",""
"tank-pro","TANK-PRO","multi","true","pdf/multi/012-tank-pro.pdf","1547165","c1156661d0b30549298f9cee9b91bdb58fc87dcf20637985a04a74feaaa73319","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Combined-Effect-Pedals/TANK-PRO.pdf","https://www.m-vave.com/product.html?id=tank-pro","downloaded",""
"mk-300","MK-300","multi","true","pdf/multi/013-mk-300.pdf","1357388","7ec5783f02f4885a7277313e1c9833d4ecbc2b328d6b6c1054bdd4f834f93eeb","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Combined-Effect-Pedals/MK-300.pdf","https://www.m-vave.com/product.html?id=mk-300","downloaded",""
"mini-universe","MINI-UNIVERSE","pedal","true","pdf/pedal/014-mini-universe.pdf","401453","a5d776e4daa20c74732df85197f7128ef5c50ce03b0889d5c2977c823275f7c9","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MINI-PEDAL/MINI-UNIVERSE.pdf","https://www.m-vave.com/product.html?id=mini-universe","downloaded",""
"galaxia","GALAXIA","pedal","true","pdf/pedal/015-galaxia.pdf","1108254","631f386ff33bf42038e1e2599073a5a8f1fd9590bc5d6c5145a7cc666fd1c3cd","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MINI-PEDAL/Galaxia.pdf","https://www.m-vave.com/product.html?id=galaxia","downloaded",""
"elemental-pro","ELEMENTAL PRO","pedal","true","pdf/pedal/016-elemental-pro.pdf","1144355","878749afac9fe89adee75039e7bab7b29603facdcc585b67f22b33bc5278b102","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MINI-PEDAL/ELEMENTAL-PRO.pdf","https://www.m-vave.com/product.html?id=elemental-pro","downloaded",""
"classic-delay","Classic DELAY","pedal","false","pdf/pedal/017-classic-delay.pdf","340769","1e7ba0affc10934aef3dd949938f3077183de0c6c99cc013a6bd2d77e93c7a68","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MINI-PEDAL/CLASSIC-DELAY.pdf","https://www.m-vave.com/product.html?id=classic-delay","downloaded",""
"classic-delay-pd18","Classic DELAY PD18","pedal","false","pdf/pedal/018-classic-delay-pd18.pdf","866602","c968443b6ad45bb53cec1dd344c6cd70acc2cebad85c6bc34fd3d2173c096beb","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MINI-PEDAL/%28PD18%29_CLASSIC%20DELAY.pdf","https://www.m-vave.com/product.html?id=classic-delay-pd18","downloaded",""
"loop-ii","LOOP II","pedal","false","pdf/pedal/019-loop-ii.pdf","499798","5957936ec2ed1e045c9984f322250e6cea0c9abfc0bc64b48be7b8d7265b5a0f","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MINI-PEDAL/LOOP-2.pdf","https://www.m-vave.com/product.html?id=loop-ii","downloaded",""
"chocolate-plus","CHOCOLATE PLUS","cat_control_pedals","true","pdf/cat-control-pedals/020-chocolate-plus.pdf","348858","4d2858ce41f6171c7e0155921c7dd15e84dee5884ed22cac5ce838a25abe563d","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/CUBE-TURNER/Chocolate-Plus.pdf","https://www.m-vave.com/product.html?id=chocolate-plus","downloaded",""
"cube-turner-pro","CUBE TURNER PRO","cat_control_pedals","true","pdf/cat-control-pedals/021-cube-turner-pro.pdf","567961","bc1b7a7112832a1bcf15466a94f31062884bc604e92900cd8cc1793c6c8554d8","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/CUBE-TURNER/Cube-Turner-PRO.pdf","https://www.m-vave.com/product.html?id=cube-turner-pro","downloaded",""
